# Principal Galaxy Catalogue — RC3 subset (de Vaucouleurs et al. 1991)
# Source: VizieR catalog VII/155 — https://vizier.cds.unistra.fr/viz-bin/VizieR?-source=VII/155
# Coordinates are ICRS (J2000). size is D25 (major axis at 25 mag/arcsec²) in arcminutes,
# converted from logD25 (log10 of D25 in 0.1 arcmin): size = 10^D25 * 0.1.
# magnitude is total B magnitude (BT).
ra,dec,catalog,catalog_id,size,magnitude
6.525417,25.718889,PGC,1625,0.00,15.54
6.530000,25.725000,PGC,1627,1.66,14.88
6.534167,25.660000,PGC,1628,0.32,
6.542500,13.653611,PGC,1631,1.45,
6.528750,16.436667,PGC,1632,1.23,
6.550000,21.800000,PGC,1633,1.15,14.70
6.572500,-4.492500,PGC,1634,1.35,
6.600000,6.283333,PGC,1638,1.20,
6.638333,-41.853333,PGC,1641,1.10,
6.695000,-33.676667,PGC,1651,1.95,
6.675000,11.550000,PGC,1652,0.87,
6.703750,31.703056,PGC,1654,1.07,
6.713750,49.116944,PGC,1655,0.44,
6.727917,-2.501389,PGC,1656,1.41,
6.735000,50.030833,PGC,1658,1.58,
6.738333,-56.978333,PGC,1659,1.05,
6.742917,-1.785833,PGC,1660,0.85,
6.762083,11.584167,PGC,1665,3.02,
6.775000,51.083333,PGC,1672,1.00,
6.788333,-40.983333,PGC,1673,1.20,
6.795417,1.333611,PGC,1674,0.74,
6.800000,24.166667,PGC,1675,1.20,
6.809583,20.071667,PGC,1676,0.91,
6.817917,-1.780000,PGC,1678,0.71,
6.817917,39.792222,PGC,1679,1.10,
6.800000,44.033333,PGC,1681,1.55,
6.867083,-32.646667,PGC,1691,1.78,
6.875833,-1.513889,PGC,1693,1.55,
6.881667,30.995000,PGC,1695,0.00,
8.125000,1.483333,PGC,1973,1.15,
6.892917,8.874722,PGC,1700,2.51,
6.894167,-34.196667,PGC,1701,1.48,
6.957917,-1.200000,PGC,1713,1.45,
6.969167,-1.810278,PGC,1715,1.41,
6.975000,26.000000,PGC,1717,1.10,
6.975000,30.600000,PGC,1720,0.93,
6.990417,32.776389,PGC,1721,1.10,
6.993750,2.506944,PGC,1723,1.78,
6.999167,30.765278,PGC,1724,0.95,
7.017500,-58.103611,PGC,1729,1.32,
7.050833,23.456111,PGC,1733,0.00,
7.062500,30.802222,PGC,1736,1.70,
7.050000,3.216667,PGC,1737,1.23,
7.070417,31.199444,PGC,1739,0.00,
7.090417,3.388889,PGC,1741,1.15,
7.075000,27.383333,PGC,1743,1.51,
7.086250,-49.076944,PGC,1745,0.91,
7.077083,3.383056,PGC,1746,1.74,
7.075000,-0.216667,PGC,1747,1.20,
7.092500,2.526389,PGC,1748,1.10,
7.115417,-7.391667,PGC,1751,1.10,
7.129583,33.271667,PGC,1754,1.35,
7.144583,31.154167,PGC,1758,0.89,15.60
7.158750,2.954167,PGC,1760,0.87,
7.174583,-59.946944,PGC,1765,1.10,
7.190417,-32.405278,PGC,1767,1.35,14.60
7.201250,3.431111,PGC,1770,0.44,
7.200000,28.933333,PGC,1771,1.00,
7.210000,2.839722,PGC,1772,1.66,13.11
7.200000,10.133333,PGC,1776,1.02,
7.225000,43.416667,PGC,1777,1.29,
7.283750,15.900278,PGC,1781,1.91,
7.280833,31.004167,PGC,1782,0.00,
7.284167,2.810556,PGC,1784,0.85,
7.300833,2.872500,PGC,1787,0.81,
7.303333,33.101944,PGC,1788,0.91,
7.312500,2.865278,PGC,1791,2.95,12.77
7.326667,2.869722,PGC,1794,0.74,
7.346250,31.393056,PGC,1797,1.10,
7.375000,-1.083333,PGC,1805,1.05,
7.410000,-33.258611,PGC,1813,1.86,13.78
7.426250,-51.518611,PGC,1816,1.48,12.15
7.428333,21.472500,PGC,1817,0.93,
7.472917,31.392778,PGC,1828,1.26,
7.475000,3.516667,PGC,1835,1.15,
7.525000,-11.100000,PGC,1841,1.95,
7.535417,-36.880556,PGC,1842,1.05,
7.544583,2.093611,PGC,1844,1.91,
7.551667,-41.100556,PGC,1845,1.95,
7.575000,25.083333,PGC,1848,0.91,
8.125000,23.400000,PGC,1971,1.35,
7.592500,-33.245556,PGC,1851,8.51,11.23
7.600417,-48.683889,PGC,1855,1.58,
7.600000,42.083333,PGC,1861,1.82,
7.624167,-8.783889,PGC,1862,1.23,
7.624583,23.115833,PGC,1863,0.00,
7.662917,12.680278,PGC,1868,0.78,
7.642500,13.365833,PGC,1869,1.29,
7.660417,-31.832222,PGC,1874,1.02,
7.667083,-28.712222,PGC,1876,1.12,
7.691667,-29.343889,PGC,1879,0.81,
7.700000,10.650000,PGC,1882,1.10,
